EnrollmentID,CourseID,StudentID,Grade
1,2021,2,4.00
2,2030,2,3.50
3,2021,3,3.00
4,2030,3,4.00
5,2021,6,2.50
6,2042,6,3.50
7,2021,7,3.50
8,2042,7,4.00
9,2021,8,3.00
10,2042,8,3.00
11,4041,9,3.50
12,4041,10,
13,4041,11,2.50
14,4041,12,
15,4061,12,
16,4022,14,3.00
17,4022,13,4.00
18,4061,13,4.00
19,4041,14,3.00
20,4022,15,2.50
21,4022,16,2.00
22,4022,17,
23,4022,19,3.50
24,4061,20,4.00
25,4061,21,2.00
26,4022,22,3.00
27,4041,22,3.50
28,4061,22,2.50
29,4022,23,3.00
30,1045,23,1.50
31,1061,24,4.00
32,1061,25,3.00
33,1050,26,3.50
34,1061,26,3.00
35,1061,27,3.00
36,1045,28,2.50
37,1050,28,3.50
38,1061,29,4.00
39,1050,30,3.50
40,1061,30,4.00
